Index,Start,End,Duration,Epochs,Loss,Accuracy,Val_Loss,Val_Accuracy,Activation,Batch_Size,Dropout,First_Neuron,Hidden_Layers,Last_Activation,Losses,lr,Optimizer,shapes
450,05/29/21-040810,05/29/21-041103,172.4608338,150,0.292236298,0.872329354,0.365609169,0.85546875,elu,2,0.3,8,1,sigmoid,binary_crossentropy,2.75,Nadam,brick
451,05/29/21-041103,05/29/21-041118,15.4960537,150,0.381236076,0.842626393,0.38460654,0.848437488,relu,27,0.4,4,0,sigmoid,binary_crossentropy,1.85,Adam,brick
452,05/29/21-041118,05/29/21-041239,80.8602457,150,0.030355951,0.918707669,0.055652339,0.849218726,relu,4,0.4,32,0,sigmoid,logcosh,2.3,RMSprop,funnel
453,05/29/21-041240,05/29/21-041304,24.61763906,150,0.046470061,0.862949431,0.049209587,0.860937476,elu,16,0.2,8,2,sigmoid,logcosh,0.5,RMSprop,brick
454,05/29/21-041304,05/29/21-041436,92.02624488,150,0.444031179,0.796769142,0.406453222,0.830468774,relu,4,0.2,4,2,sigmoid,binary_crossentropy,2.75,Nadam,funnel
455,05/29/21-041437,05/29/21-041500,23.6703074,150,0.012017855,0.997915566,0.931513786,0.853906274,relu,18,0,64,0,sigmoid,binary_crossentropy,4.1,Adam,funnel
456,05/29/21-041501,05/29/21-041625,84.34709883,150,0.032130353,0.914017737,0.060852498,0.840624988,elu,4,0,4,1,sigmoid,logcosh,4.1,Nadam,brick
457,05/29/21-041625,05/29/21-041719,53.83885241,150,0.383912414,0.782699347,0.337699801,0.854687512,elu,7,0.3,32,1,sigmoid,binary_crossentropy,0.95,Nadam,funnel
458,05/29/21-041719,05/29/21-041815,55.67337203,150,0.017989421,0.996873379,3.829613447,0.821093738,elu,7,0,64,1,sigmoid,binary_crossentropy,2.3,RMSprop,brick
459,05/29/21-041815,05/29/21-041834,19.26800466,150,0.006463929,0.98384577,0.064002521,0.84765625,relu,27,0,64,2,sigmoid,logcosh,4.1,RMSprop,brick
460,05/29/21-041835,05/29/21-041858,23.14304304,150,0.019235512,0.95570612,0.051814765,0.860937476,elu,16,0,16,0,sigmoid,logcosh,1.85,RMSprop,funnel
461,05/29/21-041858,05/29/21-041915,17.19724202,150,0.137279227,0.947889507,0.421679199,0.857031226,relu,27,0.1,64,0,sigmoid,binary_crossentropy,0.5,Nadam,brick
462,05/29/21-041915,05/29/21-042006,51.02489495,150,0.14004913,0.942678452,0.696150899,0.819531262,elu,7,0,8,1,sigmoid,binary_crossentropy,3.65,Adam,brick
463,05/29/21-042007,05/29/21-042242,155.1615121,150,0.051234927,0.862949431,0.062415518,0.830468774,relu,2,0.3,4,0,sigmoid,logcosh,3.2,Nadam,brick
464,05/29/21-042242,05/29/21-042329,47.03903317,150,0.097197384,0.664929628,0.071404211,0.8203125,relu,7,0.4,4,1,sigmoid,logcosh,1.4,Adam,funnel
465,05/29/21-042329,05/29/21-042619,169.9765034,150,0.080082491,0.69619596,0.055956524,0.837499976,relu,2,0.4,16,2,sigmoid,logcosh,2.75,RMSprop,funnel
466,05/29/21-042619,05/29/21-042924,185.1478419,150,0.307123959,0.902032316,0.54171592,0.842968762,relu,2,0.1,64,2,sigmoid,binary_crossentropy,3.65,Nadam,funnel
467,05/29/21-042925,05/29/21-042957,32.68257809,150,0.000974442,1,1.01783669,0.85546875,relu,13,0,64,1,sigmoid,binary_crossentropy,1.4,Adam,brick
468,05/29/21-042958,05/29/21-043127,89.53608036,150,0.095567875,0.724856675,0.0995811,0.713281274,relu,4,0.3,32,2,sigmoid,logcosh,4.55,Nadam,funnel
469,05/29/21-043127,05/29/21-043426,178.5223918,150,0.039389536,0.889004707,0.055193614,0.84375,relu,2,0.4,16,2,sigmoid,logcosh,0.95,Nadam,brick
470,05/29/21-043426,05/29/21-043444,17.42824483,150,0.257500291,0.88639915,0.375482708,0.856249988,relu,27,0.4,16,0,sigmoid,binary_crossentropy,4.55,Adam,funnel
471,05/29/21-043444,05/29/21-043501,16.91944432,150,0.031776905,0.913496614,0.048948396,0.858593762,elu,24,0.2,64,0,sigmoid,logcosh,1.4,RMSprop,brick
472,05/29/21-043501,05/29/21-043524,23.37987328,150,0.059250906,0.813965619,0.05517165,0.837499976,elu,16,0.3,4,2,sigmoid,logcosh,2.3,Adam,funnel
473,05/29/21-043525,05/29/21-043551,26.24606156,150,0.455128729,0.739447653,0.363711596,0.866406262,elu,16,0.4,64,1,sigmoid,binary_crossentropy,0.5,Nadam,funnel
474,05/29/21-043551,05/29/21-043720,88.91550565,150,0.041338142,0.889525771,0.063389517,0.83984375,elu,4,0.2,64,2,sigmoid,logcosh,3.2,RMSprop,funnel
475,05/29/21-043720,05/29/21-044015,175.1683779,150,0.023411194,0.938509643,0.062109269,0.832812488,elu,2,0,8,2,sigmoid,logcosh,2.3,Nadam,brick
476,05/29/21-044016,05/29/21-044040,24.31251526,150,0.177499905,0.937467456,0.421514452,0.850781262,elu,18,0.2,64,0,sigmoid,binary_crossentropy,4.1,Adam,funnel
477,05/29/21-044040,05/29/21-044132,51.99406767,150,0.01172047,0.970818162,0.065162458,0.831250012,relu,7,0,16,1,sigmoid,logcosh,0.5,Nadam,brick
478,05/29/21-044132,05/29/21-044149,16.66406727,150,0.012473779,0.969254792,0.060921203,0.848437488,relu,27,0,16,2,sigmoid,logcosh,2.3,RMSprop,funnel
479,05/29/21-044149,05/29/21-044208,18.55859613,150,0.029931249,0.917144358,0.050137423,0.850000024,relu,24,0.4,32,1,sigmoid,logcosh,3.2,Nadam,brick
480,05/29/21-044208,05/29/21-044328,79.83190799,150,0.229163647,0.90411675,0.390097946,0.840624988,elu,4,0,4,0,sigmoid,binary_crossentropy,3.65,Adam,brick
481,05/29/21-044328,05/29/21-044351,22.58498192,150,0.039555892,0.880667031,0.048507601,0.853124976,relu,16,0.1,4,0,sigmoid,logcosh,0.95,RMSprop,brick
482,05/29/21-044351,05/29/21-044413,22.25970578,150,0.039949957,0.883272529,0.048796669,0.85546875,elu,18,0.1,4,2,sigmoid,logcosh,2.75,Adam,brick
483,05/29/21-044413,05/29/21-044703,169.8494875,150,0.279003173,0.881709218,0.370564222,0.85546875,elu,2,0.3,8,0,sigmoid,binary_crossentropy,3.2,Nadam,brick
484,05/29/21-044703,05/29/21-044801,57.66848087,150,0.18923527,0.928608656,0.396106929,0.860937476,relu,7,0.3,32,2,sigmoid,binary_crossentropy,1.4,Nadam,brick
485,05/29/21-044801,05/29/21-044854,53.13130069,150,0.031260427,0.914017737,0.056813218,0.842187524,relu,7,0.1,8,2,sigmoid,logcosh,3.65,Nadam,brick
486,05/29/21-044855,05/29/21-044911,16.43452811,150,0.254467219,0.883272529,0.365878791,0.849218726,relu,27,0.2,8,0,sigmoid,binary_crossentropy,2.3,Nadam,funnel
487,05/29/21-044911,05/29/21-044931,20.16112685,150,0.036209814,0.892131329,0.048680112,0.85546875,elu,21,0.2,16,1,sigmoid,logcosh,0.5,Nadam,brick
488,05/29/21-044932,05/29/21-044953,20.86226344,150,0.091279365,0.70349139,0.067938715,0.827343762,relu,18,0.4,8,1,sigmoid,logcosh,2.75,Adam,funnel
489,05/29/21-044953,05/29/21-045011,18.06440997,150,0.039127894,0.891089082,0.052056484,0.850781262,elu,27,0.2,16,2,sigmoid,logcosh,3.2,Nadam,brick
